#1;0;0;0;0
"#Heat demand profiles as used in the project IntegraNet (GWI/UMSICHT). Calculated based on different sources. For details see:  Gemeinsamer Abschlussbericht des Forschungsvorhabens IntegraNet: ""Integrierte Betrachtung von Strom-, Gas- und Wärmesystemen zur modellbasierten Optimierung des Energieausgleichs- und Transportbedarfs innerhalb der deutschen Energienetze"", Benthin et al. (2020)";;;;
#;6WE_5;6WE_30;6WE_25;6WE_31
double default(8761,5);;;;
864000;14427.44727;12717.02441;14814.17383;16163.87891
867600;16384.74023;15025.7373;17754.51367;17680.01758
871200;17043.42188;16013.91797;19386.83398;18341.99219
874800;13161.03906;14379.87402;14829.88281;14565.68555
878400;11244.64746;11386.21289;13566.52539;12465.54102
882000;10047.44434;15203.68262;13438.55469;10356.27246
885600;14870.86133;15254.34473;16422.36719;15291.24316
889200;15916.4668;16185.43555;17716.62305;16732.33789
892800;18270.75391;16710.19531;17404.75;17617.9668
896400;17462.22461;17035.68555;17257.36328;16516.95703
900000;22656.63672;18988.8457;19765.67188;21984.4707
903600;21519.61914;22409.7832;19870.85352;23696.41992
907200;21697.04102;21253.72852;18988.23828;22654.53516
910800;17415.73633;20824.50195;18677.01563;20398.11328
914400;20414.53125;20957.46094;20431.01758;20881.13086
918000;19329.97852;20061.04492;18181.71484;18933.0625
921600;18746.64648;19147.87695;19002.73828;20134.0293
925200;16002.27246;16488.72266;15808.63281;16938.60938
928800;16545.21875;16352.25;15400.97656;17721.86719
932400;15678.11719;16391.69531;15097.71777;18546.91406
936000;17952.06055;19570.81641;16445.33008;18874.67773
939600;15541.46387;18311.01172;15335.33691;16959.43164
943200;19649.61328;18557.56641;15016.62207;19720.29102
946800;16482.875;20145.125;18161.37695;16805.70703
950400;15516.28516;16789.75781;12375.07813;17752.14258
954000;16994.70898;18217.5957;16636.42773;20389.95117
957600;18377.78906;18222.00977;20211.73828;19567.43555
961200;14187.16992;15669.38281;15423.47363;16363.43945
964800;13293.49902;12386.06445;14773.66797;14432.58496
968400;10899.60547;16245.96289;14440.60059;11009.76855
972000;15968.80859;16209.69238;17149.50977;16624.46875
975600;17134.37891;17151.35938;18800.50195;17734.01563
979200;18523.35742;16343.4873;17910.88672;18207.42578
982800;18145.05273;15854.94043;18152.55078;17018.24609
986400;23684.69531;19352.27344;20824.36133;22419.31445
990000;20585.54492;23625.82813;20516.82617;23547.53711
