#1;0;0;0;0;0;0;0;0
"#Heat demand profiles as used in the project IntegraNet (GWI/UMSICHT). Calculated based on different sources. For details see:  Gemeinsamer Abschlussbericht des Forschungsvorhabens IntegraNet: ""Integrierte Betrachtung von Strom-, Gas- und Wärmesystemen zur modellbasierten Optimierung des Energieausgleichs- und Transportbedarfs innerhalb der deutschen Energienetze"", Benthin et al. (2020)";;;;;;;;
#;6WE_26;6WE_14;6WE_32;6WE_8;6WE_9;6WE_16;6WE_20;6WE_18
double default(8761,9);;;;;;;;
730800;8076.005371;6586.352051;6205.64502;27557.03711;26682.10742;4706.633301;1697.004883;7081.206543
734400;6213.032227;8893.147461;8562.061523;25978.74609;29476.60156;8256.813477;5190.303711;4934.47168
738000;3099.291504;4841.98291;5329.574219;21862.53711;25102.78516;6163.762207;2793.42627;3782.402832
741600;4304.356445;5258.726563;4885.610352;25784.91406;25119.06836;4485.146973;4522.896973;5041.345215
745200;3718.577881;3078.029053;2766.262451;22916.70508;22512.08203;3491.336426;4357.930176;4373.362305
748800;5424.451172;3923.625244;3061.810547;24579.49609;22845.73047;4164.560547;3783.461426;4773.505371
752400;2519.351318;2233.97583;1235.775146;21055.48438;20565.86133;2034.884888;3084.74707;2455.219482
756000;3670.903076;3002.482178;2428.959961;22197.82617;21639.64844;3628.108154;3150.985107;3300.94165
759600;5851.415039;2770.709473;2880.954346;23123.98242;21812.59375;2511.352051;2708.589111;3820.860107
763200;4706.309082;5877.890137;7272.409668;23350.86914;24010.0957;3688.976074;5553.222656;3780.307861
766800;1484.476685;1997.50708;1344.455933;17996.72656;17125.16797;2283.883545;3151.339111;3179.54126
770400;2252.970215;2147.457764;3536.475586;20071.91602;21136.90039;1117.917358;1743.238892;2079.118164
774000;2281.38501;1844.677124;2319.981934;17524.90625;17369.72266;2845.511719;1887.835205;2097.146729
777600;1116.179443;595.2811279;1775.454712;18321.96484;16780.10547;1715.515747;1244.013672;787.329834
781200;2461.08667;1054.070679;2367.43457;18084.02539;17953.63672;3075.072754;1773.04895;818.4282227
784800;2238.819092;2359.494385;3160.68457;17684.89063;18489.08008;819.7977295;2186.356689;2645.285156
788400;988.6017456;513.9780273;673.6495972;14326.79004;10393.96094;1516.240601;1626.271606;1863.19873
792000;43.89450455;1128.088501;657.7697754;12631.99805;12175.97363;1238.829956;1824.11499;986.3675537
795600;520.1404419;911.1098633;1300.346191;5499.564453;10202.72559;1721.267944;2892.197021;2334.747803
