#1	
double	default(8784, 2) # Time [s], Temperature [°C], data from Hamburg-Fuhlsbuettel (Latitude:53.633; Longitude:9.988) in 2012, station height 11m. Source: DeutscherWetterdienstDWD2015
4363200	4.3
4366800	4.7
4370400	4.3
4374000	4
4377600	3.2
4381200	2.7
4384800	2.2
4388400	1.9
4392000	1.5
4395600	1.8
4399200	2.2
4402800	2.3
4406400	2.5
4410000	2.5
4413600	1.1
4417200	1.3
4420800	0.9
4424400	0.8
4428000	1.1
4431600	1.3
4435200	1.7
4438800	2.4
4442400	3
4446000	3.6
4449600	4.1
4453200	4.7
4456800	5.1
4460400	5.4
4464000	5.4
4467600	5.4
4471200	5.5
4474800	5.7
4478400	5.9
4482000	6.1
4485600	6.1
4489200	6.1
4492800	6
4496400	5.7
4500000	5.5
4503600	5.2
4507200	4.7
4510800	4.6
4514400	4.7
4518000	4.6
4521600	4.8
4525200	5.1
4528800	5.5
4532400	6
4536000	6.3
4539600	6.7
4543200	7.3
4546800	7.4
4550400	7.6
4554000	7
4557600	6.9
4561200	6.8
4564800	6.6
4568400	5.8
4572000	5.6
4575600	5.4
4579200	5.4
4582800	5.5
4586400	5.9
4590000	6.3
4593600	6.7
4597200	7
4600800	7.5
4604400	7.3
4608000	7.1
4611600	7.5
4615200	8.7
4618800	9.6
4622400	9.8
4626000	9.9
4629600	10.5
4633200	10.4
4636800	10
4640400	9.7
4644000	9.4
4647600	9.5
4651200	9.8
4654800	10.2
4658400	10.6
4662000	11
4665600	11.3
4669200	11.4
4672800	11.3
4676400	10.9
4680000	10.2
4683600	9.8
4687200	9.5
4690800	9.5
4694400	9.6
4698000	9.6
4701600	9.9
4705200	10.4
4708800	11
4712400	11.3
4716000	9.9
4719600	9.2
4723200	8.2
4726800	7.5
4730400	7
4734000	6.6
4737600	6
4741200	5.7
4744800	5.2
4748400	5.1
4752000	4.6
4755600	4.4
4759200	4.5
4762800	3.8
4766400	3.5
4770000	3.5
4773600	3.5
4777200	3.7
4780800	4.3
4784400	6.1
4788000	6.6
4791600	7.1
4795200	7.4
4798800	7.2
4802400	6.9
4806000	6.7
4809600	6.7
4813200	5.9
4816800	6
4820400	5.7
4824000	5.6
4827600	5.4
4831200	5.4
4834800	5
4838400	5
4842000	4.9
4845600	5
4849200	5
4852800	5
4856400	4.4
4860000	3.7
4863600	3.8
4867200	3.8
4870800	4.3
4874400	4.7
4878000	6.3
4881600	7.3
4885200	7.7
4888800	8.1
4892400	7.8
4896000	6.6
4899600	4
4903200	2.5
4906800	0.3
4910400	-0.4
4914000	-0.6
4917600	0
4921200	0.5
4924800	0.1
4928400	-0.5
4932000	0.3
4935600	0.5
4939200	1.1
4942800	1.7
4946400	2.2
4950000	2.2
4953600	1.9
4957200	2.4
4960800	2.7
4964400	3.5
4968000	4.1
4971600	4.4
4975200	4.8
4978800	5.3
4982400	5.9
4986000	6.2
4989600	6.2
4993200	6.2
4996800	6.3
5000400	6.3
5004000	6.4
5007600	6.4
5011200	6.5
5014800	6.7
5018400	6.8
5022000	6.9
5025600	6.9
5029200	7.1
5032800	7.2
5036400	7.4
5040000	7.6
5043600	7.8
5047200	8.2
5050800	8.3
5054400	8.8
5058000	9.2
5061600	9.2
5065200	9.2
5068800	9.3
5072400	9.5
5076000	8.7
5079600	8.5
5083200	8
5086800	7.8
5090400	7.8
5094000	7.3
5097600	6.8
5101200	6.6
5104800	6.7
5108400	6.7
5112000	6.7
5115600	6.7
5119200	6.7
5122800	6.5
5126400	6.3
5130000	6.6
5133600	7.2
5137200	7.8
5140800	8.7
5144400	9.5
5148000	10.2
5151600	9.7
5155200	9.6
5158800	9.3
5162400	9.1
5166000	9
5169600	8.7
5173200	8.9
5176800	9
5180400	8.4
5184000	8
5187600	7.9
5191200	8.1
5194800	7.3
5198400	7.2
5202000	7.1
5205600	7.2
5209200	7.2
5212800	7.3
5216400	7.3
5220000	7.7
5223600	8
5227200	8.1
5230800	8.5
5234400	8.6
5238000	8.7
5241600	8.8
5245200	8.5
5248800	8.1
5252400	7.9
5256000	7.2
5259600	6.6
5263200	6.3
5266800	6.4
5270400	6.7
5274000	6.6
5277600	6.2
5281200	5.8
5284800	5.2
5288400	4.6
5292000	4
5295600	3.8
5299200	3.6
5302800	3.8
5306400	4
5310000	4.2
5313600	4.7
5317200	5
5320800	5.3
5324400	5.2
5328000	5.4
5331600	5.3
5335200	5.2
5338800	5.1
5342400	5.3
5346000	4.3
5349600	4.3
5353200	3.9
5356800	4
5360400	4.3
5364000	4
5367600	3.4
5371200	2.7
5374800	2.8
5378400	2.5
5382000	2.5
5385600	2.9
5389200	3.8
5392800	5.4
5396400	6.4
5400000	7.7
5403600	8.6
5407200	8.8
5410800	9.2
5414400	7.9
5418000	7.5
5421600	7.5
5425200	7.5
5428800	7.3
5432400	7
5436000	6.7
5439600	6.5
5443200	6.2
5446800	6
5450400	5.7
5454000	5.4
5457600	5.2
5461200	4.9
5464800	4.3
5468400	4.5
5472000	4.4
5475600	5
5479200	5.7
5482800	7
5486400	7.5
5490000	7.9
5493600	7.8
5497200	7.4
5500800	7
5504400	6.1
5508000	5.6
5511600	5.4
5515200	5.4
5518800	5.3
5522400	5.2
5526000	5
5529600	4.6
5533200	4.2
5536800	3.6
5540400	3.2
5544000	2.8
5547600	2.6
5551200	2.5
5554800	2.6
5558400	2.9
5562000	3.6
5565600	4.1
5569200	5
5572800	5.8
5576400	6.5
5580000	7.2
5583600	7.2
5587200	7.5
5590800	7.3
5594400	7.6
5598000	7.3
5601600	6.9
5605200	6.5
5608800	5.8
5612400	5
5616000	3.8
5619600	2.5
5623200	2
5626800	0.8
5630400	0.4
5634000	-0.1
5637600	-0.5
5641200	0
5644800	1.1
5648400	2.7
5652000	4.2
5655600	5.6
5659200	6.2
5662800	7
5666400	7.2
5670000	7.6
5673600	7.2
5677200	6.4
5680800	5.3
5684400	4.5
5688000	3.5
5691600	2.9
5695200	2.3
5698800	2.3
5702400	1.6
5706000	1.6
5709600	1.7
5713200	1.3
5716800	1
5720400	0.8
5724000	0.7
5727600	1
5731200	1.4
5734800	2.8
5738400	3.9
5742000	5.3
5745600	6.5
5749200	7.8
5752800	7.9
5756400	7.5
5760000	6.5
5763600	4.9
5767200	4.1
5770800	4
5774400	3.6
5778000	3.5
5781600	3.6
5785200	3.4
5788800	3
5792400	2.5
5796000	2.7
5799600	3.6
5803200	5.1
5806800	5
5810400	4.7
5814000	3.6
5817600	4.4
5821200	6.2
5824800	6.9
5828400	7.1
5832000	8.1
5835600	9
5839200	7.6
5842800	7.7
5846400	7.7
5850000	6.4
5853600	5.3
5857200	4.6
5860800	3.5
5864400	3.2
5868000	2.6
5871600	1.6
5875200	0.3
5878800	2
5882400	2.7
5886000	2.1
5889600	1.9
5893200	1.9
5896800	1.7
5900400	2.9
5904000	3.8
5907600	5.2
5911200	6.2
5914800	7.4
5918400	8.8
5922000	9.6
5925600	9.7
5929200	9.9
5932800	10
5936400	9.9
5940000	9.4
5943600	9.7
5947200	9.3
5950800	9
5954400	8.7
5958000	8.2
5961600	8.3
5965200	8.3
5968800	8.2
5972400	7.8
5976000	7.7
5979600	7.5
5983200	7.7
5986800	8.1
5990400	8.1
5994000	8.5
5997600	9.3
6001200	10
6004800	10.5
6008400	11.6
6012000	10.6
6015600	10
6019200	8.8
6022800	7.7
6026400	6.9
6030000	6.8
6033600	6.7
6037200	6.6
6040800	6.6
6044400	6.9
6048000	7.1
6051600	7.1
6055200	7
6058800	6.9
6062400	6.6
6066000	6.6
6069600	6.9
6073200	7
6076800	7.1
6080400	7.2
6084000	8.2
6087600	8.5
6091200	9
6094800	9.6
6098400	9.1
6102000	9.1
6105600	8.4
6109200	7.7
6112800	7.1
6116400	6.7
6120000	7
6123600	7.1
6127200	7
6130800	6.9
6134400	7
6138000	7.1
