#1;T_K
#Temperature for Duesseldorf 2017 1 m depth;
#Source: CDC DWD #DWD Climate Data Center (CDC): Hourly station observations of soil temperature at the depth of 100cm in
#°C for Germany, version v18.1 & recent
double default(8761,2);
3729600;277.25
3733200;277.25
3736800;277.25
3740400;277.25
3744000;277.25
3747600;277.25
3751200;277.25
3754800;277.25
3758400;277.25
3762000;277.25
3765600;277.25
3769200;277.25
3772800;277.25
3776400;277.25
3780000;277.25
3783600;277.25
3787200;277.25
3790800;277.25
3794400;277.25
3798000;277.25
3801600;277.25
3805200;277.25
3808800;277.25
3812400;277.25
3816000;277.25
3819600;277.25
3823200;277.25
3826800;277.25
3830400;277.25
3834000;277.25
3837600;277.25
3841200;277.25
3844800;277.25
3848400;277.25
3852000;277.25
3855600;277.25
3859200;277.25
3862800;277.25
3866400;277.25
3870000;277.25
3873600;277.25
3877200;277.25
3880800;277.25
3884400;277.25
3888000;277.25
3891600;277.25
3895200;277.25
3898800;277.25
3902400;277.25
3906000;277.25
3909600;277.25
3913200;277.25
3916800;277.25
3920400;277.25
3924000;277.25
3927600;277.25
3931200;277.25
3934800;277.25
3938400;277.25
3942000;277.25
3945600;277.25
3949200;277.25
3952800;277.25
3956400;277.25
3960000;277.25
3963600;277.25
3967200;277.25
3970800;277.25
3974400;277.25
3978000;277.25
3981600;277.25
3985200;277.25
3988800;277.25
3992400;277.25
3996000;277.25
3999600;277.25
4003200;277.35
4006800;277.35
4010400;277.35
4014000;277.35
4017600;277.35
4021200;277.35
4024800;277.35
4028400;277.35
4032000;277.35
4035600;277.35
4039200;277.45
4042800;277.45
4046400;277.45
4050000;277.45
4053600;277.45
4057200;277.45
4060800;277.45
4064400;277.45
4068000;277.45
4071600;277.55
4075200;277.55
4078800;277.55
4082400;277.55
4086000;277.55
4089600;277.55
4093200;277.65
