#1
#SLP with Hamburg TMY, scaled to 10 MWh yearly demand	
double default(8761,2)	
3027600	1460.79427
3031200	1539.79268
3034800	1586.65593
3038400	1626.82444
3042000	1754.0247
3045600	2088.76224
3049200	3005.94309
3052800	3862.87119
3056400	3595.08116
3060000	3414.32289
3063600	3267.03837
3067200	3113.0591
3070800	2999.24834
3074400	2932.30083
3078000	2925.60608
3081600	2985.85884
3085200	3066.19585
3088800	3220.17512
3092400	3354.07013
3096000	3387.54389
3099600	3380.84913
3103200	3246.95412
3106800	2878.74283
3110400	2068.67799
3114000	1646.90869
3117600	1183.11961
3121200	1255.5555
3124800	1309.88242
3128400	1503.04481
3132000	1967.8418
3135600	2903.4721
3139200	3736.48488
3142800	3488.99558
3146400	3181.14303
3150000	2933.65372
3153600	2728.41869
3157200	2595.61955
3160800	2559.4016
3164400	2547.32895
3168000	2613.72852
3171600	2728.41869
3175200	2885.36312
3178800	3072.48918
3182400	3156.99773
3186000	3181.14303
3189600	3042.30756
3193200	2655.98279
3196800	1816.93368
3200400	1315.91875
3204000	1034.04513
3207600	1065.51607
3211200	1092.49116
3214800	1177.91228
3218400	1402.7047
3222000	2018.63593
3225600	2594.10452
3229200	2414.27059
3232800	2292.88268
3236400	2193.97402
3240000	2090.5695
3243600	2014.14008
3247200	1969.1816
3250800	1964.68575
3254400	2005.14838
3258000	2059.09856
3261600	2162.50308
3265200	2252.42005
3268800	2274.89929
3272400	2270.40344
3276000	2180.48647
3279600	1933.21481
3283200	1389.21715
3286800	1105.9787
3290400	1059.69416
3294000	1091.94572
3297600	1119.58992
3301200	1207.12987
3304800	1437.49817
3308400	2068.7073
3312000	2658.45013
3315600	2474.1555
3319200	2349.75662
3322800	2248.39457
3326400	2142.42515
3330000	2064.09993
3333600	2018.02627
3337200	2013.4189
3340800	2054.8852
3344400	2110.17359
3348000	2216.14301
3351600	2308.29032
3355200	2331.32715
3358800	2326.71979
3362400	2234.57247
3366000	1981.16734
3369600	1423.67607
3373200	1133.41202
3376800	1223.53454
